"Date"	"Open"
1220	215.55
1221	194.38
1222	193.69
1223	190.02
1224	188.76
1225	179.27
1226	181.94
1227	188.69
1228	194.54
1229	192.5
1230	204.65
1231	200.97
1232	196
1233	195.38
1234	194.33
1235	195.62
1236	194.5
1237	190.64
1238	195.08
1239	193.45
1240	201.4
1241	197.4
1242	199.23
1243	192.97
1244	191.78
1245	192.11
1246	189.15
1247	187.45
1248	183.9
1249	186.31
1250	182
1251	176.76
1252	176.95
1253	177.99
1254	171
1255	172.17
1256	173.43
1257	170.25
1258	170.35
1259	176
1260	179.13
1261	179.95
1262	179.9
1263	181.95
1264	180.71
1265	180.36
1266	175.8
1267	174.82
1268	167.97
1269	164.47
1270	169.1
1271	170.29
1272	169.02
1273	177.5
1274	180.45
1275	185.23
1276	169.13
1277	170.67
1278	174.1
1279	170.93
1280	181.98
1281	188.44
1282	198.18
1283	198.78
1284	193.55
1285	198.89
1286	186.68
1287	182.72
1288	186.34
1289	176.4
1290	170.54
1291	144.4
1292	148.03
1293	150.5
1294	143.2
1295	144.93
1296	141.01
1297	143.32
1298	134.44
1299	137
1300	138.72
1301	136.92
1302	137.55
1303	134.66
1304	135.25
1305	130.8
1306	129.9
1307	126.7
1308	121.3
1309	119.56
1310	120.94
1311	118.84
1312	117.4
1313	119.81
1314	116.95
1315	114.42
1316	112.34
1317	110.56
1318	107.45
1319	106.63
1320	101.6
1321	102.53
1322	100.74
1323	101.01
1324	100.95
1325	99.19
1326	102.7
1327	102.3
1328	105.28
1329	108.1
1330	104.95
1331	104.96
1332	111.24
1333	110.75
1334	101.01
1335	100
